vac1daily	vac2daily	vac1dailyCum	vac2dailyCum
318	0	0.28571428	18037.9999996	11922.42857119
319	0	0.28571428	18037.9999996	11922.71428547
320	0	0.28571428	18037.9999996	11922.99999975
321	0	0.14285715	18037.9999996	11923.1428569
322	0	0.14285715	18037.9999996	11923.28571405
323	0	0.14285715	18037.9999996	11923.4285712
324	0	0.14285715	18037.9999996	11923.57142835
325	0	0.14285715	18037.9999996	11923.7142855
326	0	0.14285715	18037.9999996	11923.85714265
327	0	0.14285715	18037.9999996	11923.9999998
328	0	0.14285715	18037.9999996	11924.14285695
329	0	0.14285715	18037.9999996	11924.2857141
330	0	0.14285715	18037.9999996	11924.42857125
331	0	0.14285715	18037.9999996	11924.5714284
332	0	0.14285715	18037.9999996	11924.71428555
333	0	0.14285715	18037.9999996	11924.8571427
334	0	0.14285715	18037.9999996	11924.99999985
335	0	0.28571428	18037.9999996	11925.28571413
336	0	0.28571428	18037.9999996	11925.57142841
337	0	0.28571428	18037.9999996	11925.85714269
338	0	0.28571428	18037.9999996	11926.14285697
339	0	0.28571428	18037.9999996	11926.42857125
340	0	0.28571428	18037.9999996	11926.71428553
341	0	0.28571428	18037.9999996	11926.99999981
342	0	0.14285715	18037.9999996	11927.14285696
343	0	0.14285715	18037.9999996	11927.28571411
344	0	0.14285715	18037.9999996	11927.42857126
345	0	0.14285715	18037.9999996	11927.57142841
346	0	0.14285715	18037.9999996	11927.71428556
347	0	0.14285715	18037.9999996	11927.85714271
348	0	0.14285715	18037.9999996	11927.99999986
349	0	0	18037.9999996	11927.99999986
350	0	0	18037.9999996	11927.99999986
351	0	0	18037.9999996	11927.99999986
352	0	0	18037.9999996	11927.99999986
353	0	0	18037.9999996	11927.99999986
354	0	0	18037.9999996	11927.99999986
355	0	0	18037.9999996	11927.99999986
356	0	0.14285715	18037.9999996	11928.14285701
357	0	0.14285715	18037.9999996	11928.28571416
358	0	0.14285715	18037.9999996	11928.42857131
359	0	0.14285715	18037.9999996	11928.57142846
360	0	0.14285715	18037.9999996	11928.71428561
361	0	0.14285715	18037.9999996	11928.85714276
362	0	0.14285715	18037.9999996	11928.99999991
363	0	0	18037.9999996	11928.99999991
364	0	0	18037.9999996	11928.99999991
365	0	0	18037.9999996	11928.99999991
366	0	0	18037.9999996	11928.99999991
367	0	0	18037.9999996	11928.99999991
368	0	0	18037.9999996	11928.99999991
369	0	0	18037.9999996	11928.99999991
370	0	0	18037.9999996	11928.99999991
371	0	0	18037.9999996	11928.99999991
372	0	0	18037.9999996	11928.99999991
373	0	0	18037.9999996	11928.99999991
374	0	0	18037.9999996	11928.99999991
375	0	0	18037.9999996	11928.99999991
376	0	0	18037.9999996	11928.99999991
377	0	0	18037.9999996	11928.99999991
378	0	0	18037.9999996	11928.99999991
379	0	0	18037.9999996	11928.99999991
380	0	0	18037.9999996	11928.99999991
381	0	0	18037.9999996	11928.99999991
382	0	0	18037.9999996	11928.99999991
383	0	0	18037.9999996	11928.99999991
384	0	0	18037.9999996	11928.99999991
385	0	0	18037.9999996	11928.99999991
386	0	0	18037.9999996	11928.99999991
387	0	0	18037.9999996	11928.99999991
388	0	0	18037.9999996	11928.99999991
389	0	0	18037.9999996	11928.99999991
390	0	0	18037.9999996	11928.99999991
391	7.57142857	1.14285715	18045.57142817	11930.14285706
392	7.57142857	1.14285715	18053.14285674	11931.28571421
393	7.57142857	1.14285715	18060.71428531	11932.42857136
394	7.57142857	1.14285715	18068.28571388	11933.57142851
395	7.57142857	1.14285715	18075.85714245	11934.71428566
396	7.57142857	1.14285715	18083.42857102	11935.85714281
397	7.57142857	1.14285715	18090.99999959	11936.99999996
398	12.42857143	1.42857143	18103.42857102	11938.42857139
399	12.42857143	1.42857143	18115.85714245	11939.85714282
400	12.42857143	1.42857143	18128.28571388	11941.28571425
401	12.42857143	1.42857143	18140.71428531	11942.71428568
402	12.42857143	1.42857143	18153.14285674	11944.14285711
403	12.42857143	1.42857143	18165.57142817	11945.57142854
404	12.42857143	1.42857143	18177.9999996	11946.99999997
405	22.57142857	1.71428572	18200.57142817	11948.71428569
406	22.57142857	1.71428572	18223.14285674	11950.42857141
407	22.57142857	1.71428572	18245.71428531	11952.14285713
408	22.57142857	1.71428572	18268.28571388	11953.85714285
409	22.57142857	1.71428572	18290.85714245	11955.57142857
410	22.57142857	1.71428572	18313.42857102	11957.28571429
411	22.57142857	1.71428572	18335.99999959	11959.00000001
412	14.42857143	1.71428572	18350.42857102	11960.71428573
413	14.42857143	1.71428572	18364.85714245	11962.42857145
414	14.42857143	1.71428572	18379.28571388	11964.14285717
415	14.42857143	1.71428572	18393.71428531	11965.85714289
416	14.42857143	1.71428572	18408.14285674	11967.57142861
417	14.42857143	1.71428572	18422.57142817	11969.28571433
418	14.42857143	1.71428572	18436.9999996	11971.00000005
419	11.28571428	3	18448.28571388	11974.00000005
420	11.28571428	3	18459.57142816	11977.00000005
421	11.28571428	3	18470.85714244	11980.00000005
422	11.28571428	3	18482.14285672	11983.00000005
423	11.28571428	3	18493.428571	11986.00000005
424	11.28571428	3	18504.71428528	11989.00000005
425	11.28571428	3	18515.99999956	11992.00000005
426	12	6.28571428	18527.99999956	11998.28571433
427	12	6.28571428	18539.99999956	12004.57142861
428	12	6.28571428	18551.99999956	12010.85714289
429	12	6.28571428	18563.99999956	12017.14285717
430	12	6.28571428	18575.99999956	12023.42857145
431	12	6.28571428	18587.99999956	12029.71428573
